RF,Time,Latitude,Longitude,Altitude
13,12:07:44,22.9026419,120.2732,30.201
13,12:07:47,22.9027496,120.2731931,29.957
13,12:07:49,22.9028358,120.2731842,29.894
13,12:07:52,22.9028654,120.2731795,29.73
14,17:33:08,22.9021756,120.2733492,0.039
14,17:33:11,22.9021759,120.2733413,0.898
14,17:33:14,22.9021885,120.2732694,5.646
14,17:33:17,22.9022043,120.273152,11.579
14,17:33:20,22.9022157,120.2730426,17.239
14,17:33:23,22.9022083,120.2729298,20.263
14,17:33:26,22.9021663,120.272819,20.402
14,17:33:29,22.9021184,120.2727177,20.123
14,17:33:32,22.9021207,120.2726964,19.771
14,17:33:35,22.9022093,120.2726941,19.879
14,17:33:38,22.9023062,120.272687,20.183
14,17:33:41,22.9023242,120.2727386,20.139
14,17:33:44,22.9023231,120.2728501,20.168
14,17:33:47,22.9023267,120.2729928,20.182
14,17:33:50,22.9023321,120.2731274,20.295
14,17:33:53,22.9023353,120.2732686,20.755
14,17:33:56,22.9023367,120.2733196,25.755
14,17:33:59,22.9023264,120.273321,29.747
14,17:34:02,22.9022596,120.2733316,30.119
14,17:34:05,22.9021754,120.2733515,30.201
14,17:34:08,22.9021757,120.273,
15,17:44:07,22.9030086,120.2730245,5.874
15,17:44:10,22.9029888,120.2729073,11.282
15,17:44:13,22.9029778,120.2727851,16.639
15,17:44:16,22.9029663,120.2726863,20.12
15,17:44:19,22.9029448,120.2726667,19.818
15,17:44:22,22.9028747,120.2726916,20.013
15,17:44:25,22.902775,120.2727217,20.198
15,17:44:28,22.9027022,120.2727917,20.144
15,17:44:31,22.9026985,120.2729031,19.87
15,17:44:34,22.9027085,120.2730277,20.097
15,17:44:37,22.9027135,120.2731335,21.958
15,17:44:40,22.9027204,120.273162,28.305
15,17:44:43,22.9027436,120.2731622,30.166
15,17:44:46,22.9028257,120.2731544,30.227
15,17:44:49,22.9029449,120.2731411,29.984
15,17:44:52,22.9030106,120.273131,30.215
16,17:47:17,22.9030171,120.2731301,19.686
16,17:47:20,22.9030137,120.2730875,20.407
16,17:47:23,22.9030083,120.2730257,20.31
16,17:47:26,22.9030011,120.2729696,19.998
16,17:47:29,22.9029911,120.2729073,19.89
16,17:47:32,22.902985,120.2728503,19.977
16,17:47:35,22.9029767,120.2727862,20.066
16,17:47:38,22.9029698,120.2727293,20.022
16,17:47:41,22.9029602,120.2726691,20.049
16,17:47:44,22.9029378,120.2726726,19.729
16,17:47:47,22.9028946,120.272703,19.917
16,17:47:50,22.9028486,120.2727318,20.081
16,17:47:53,22.9028036,120.2727615,20.128
16,17:47:56,22.902754,120.2727902,20.135
16,17:47:59,22.9027071,120.2727942,20.115
16,17:48:02,22.902655,120.2727954,19.913
16,17:48:05,22.9025972,120.2727996,20.106
16,17:48:08,22.9025702,120.2728206,20.037
16,17:48:11,22.9025746,120.2728857,19.906
16,17:48:14,22.9025785,120.2729366,20.026
16,17:48:17,22.9025784,120.2729983,20.255
16,17:48:20,22.9025828,120.2730525,19.966
